date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2015-06-17,4890.55,4983.66,4967.9,4767.22,5371011.5,80.47,1.65,5041.253,5052.792,4913.13,5830649.8,6544416.0,6478170.73
2015-06-18,4942.52,4966.77,4785.36,4780.87,5074409.0,-182.54,-3.67,4974.007,5036.617,4925.927,5717550.6,6376904.5,6499392.93
2015-06-19,4689.93,4744.08,4478.36,4476.5,4526896.5,-307.0,-6.42,4836.409,4982.144,4916.965,5371674.2,6057353.35,6397942.1
2015-06-23,4471.61,4577.94,4576.49,4264.77,4735261.5,98.13,2.19,4739.108,4926.605,4905.099,5043118.5,5675844.4,6293474.48
2015-06-24,4604.58,4691.77,4690.15,4552.13,5430037.0,113.66,2.48,4699.652,4884.266,4894.062,5027523.1,5488954.3,6212529.9
2015-06-25,4711.76,4720.7,4527.78,4483.55,5727975.5,-162.37,-3.46,4611.628,4826.441,4873.365,5098915.9,5464782.85,6158345.98
2015-06-26,4399.93,4456.9,4192.87,4139.53,5652178.5,-334.91,-7.4,4493.13,4733.568,4851.996,5214469.8,5466010.2,6049472.6
2015-06-29,4289.77,4297.47,4053.03,3875.05,6737863.5,-139.84,-3.33,4408.064,4622.236,4824.06,5656663.2,5514168.7,6080734.58
2015-06-30,4006.75,4279.97,4277.22,3847.88,7091766.5,224.19,5.53,4348.21,4543.659,4796.484,6127964.2,5585541.35,6138628.38
2015-07-01,4214.15,4317.05,4053.7,4043.37,5987694.5,-223.52,-5.23,4220.92,4460.286,4753.643,6239495.7,5633509.4,6126139.05
2015-07-02,4058.62,4080.39,3912.77,3795.25,5860156.0,-140.93,-3.48,4097.918,4354.773,4703.782,6265931.8,5682423.85,6113419.93
2015-07-03,3793.71,3927.13,3686.92,3629.56,5481631.0,-225.85,-5.77,3996.728,4244.929,4640.773,6231822.3,5723146.05,6050025.28
2015-07-06,3975.21,3975.21,3775.91,3653.04,8311393.0,88.99,2.41,3941.304,4174.684,4578.414,6546528.2,6101595.7,6079474.53
2015-07-07,3654.78,3750.57,3727.12,3585.4,6988187.0,-48.79,-1.29,3831.284,4089.747,4508.176,6525812.3,6326888.25,6001366.33
2015-07-08,3467.4,3599.25,3507.19,3421.53,6803569.0,-219.93,-5.9,3721.982,3971.451,4427.859,6688987.2,6464241.45,5976597.88
2015-07-09,3432.45,3748.48,3709.33,3373.54,6569146.0,202.14,5.76,3681.294,3889.606,4358.023,6830785.2,6548358.5,6006570.68
2015-07-10,3707.46,3959.22,3877.8,3677.43,5863642.5,168.47,4.54,3719.47,3858.099,4295.834,6907187.5,6569504.9,6017757.55
2015-07-13,3918.99,4030.19,3970.39,3858.64,6434890.0,92.59,2.39,3758.366,3849.835,4236.036,6531886.9,6539207.55,6026688.13
2015-07-14,3958.37,4035.43,3924.49,3855.56,6705588.0,-45.9,-1.16,3797.84,3814.562,4179.111,6475367.1,6500589.7,6043065.53
2015-07-15,3874.97,3914.27,3805.7,3741.25,6013013.0,-118.79,-3.03,3857.542,3789.762,4125.024,6317255.9,6503121.55,6068315.48
2015-07-16,3758.5,3877.51,3823.18,3688.44,4922562.0,17.48,0.46,3880.312,3780.803,4067.788,5987939.1,6409362.15,6045893.0
2015-07-17,3831.42,3994.48,3957.35,3814.15,4817262.5,134.17,3.51,3896.222,3807.846,4026.387,5778663.1,6342925.3,6033035.68
2015-07-20,3948.42,4021.33,3992.11,3927.12,5391067.0,34.76,0.88,3900.566,3829.466,4002.075,5569898.5,6050892.7,6076244.2
2015-07-21,3939.9,4041.82,4017.67,3912.8,5042880.5,25.56,0.64,3919.202,3858.521,3974.134,5237357.0,5856362.05,6091625.15
2015-07-22,3996.43,4042.34,4026.05,3960.86,5207322.0,8.38,0.21,3963.272,3910.407,3940.929,5076218.8,5696737.35,6080489.4
2015-07-23,4022.27,4132.61,4123.92,4019.04,5635859.5,97.87,2.43,4023.42,3951.866,3920.736,5218878.3,5603408.7,6075883.6
2015-07-24,4124.75,4184.45,4070.91,4044.83,6274248.5,-53.01,-1.28,4046.132,3971.177,3914.638,5510275.5,5644469.3,6106987.1
